date,hospital,blood_group,demand_units,is_emergency
2021-02-26,Tema General Hospital,Whole Blood / RBC,37,0
2021-02-27,Tema General Hospital,Whole Blood / RBC,26,1
2021-02-28,Tema General Hospital,Whole Blood / RBC,30,0
2021-03-01,Tema General Hospital,Whole Blood / RBC,50,0
2021-03-02,Tema General Hospital,Whole Blood / RBC,40,0
2021-03-03,Tema General Hospital,Whole Blood / RBC,52,0
2021-03-04,Tema General Hospital,Whole Blood / RBC,49,0
2021-03-05,Tema General Hospital,Whole Blood / RBC,36,0
2021-03-06,Tema General Hospital,Whole Blood / RBC,32,0
2021-03-07,Tema General Hospital,Whole Blood / RBC,34,0
2021-03-08,Tema General Hospital,Whole Blood / RBC,50,0
2021-03-09,Tema General Hospital,Whole Blood / RBC,42,0
2021-03-10,Tema General Hospital,Whole Blood / RBC,40,0
2021-03-11,Tema General Hospital,Whole Blood / RBC,69,0
2021-03-12,Tema General Hospital,Whole Blood / RBC,45,0
2021-03-13,Tema General Hospital,Whole Blood / RBC,34,1
2021-03-14,Tema General Hospital,Whole Blood / RBC,25,0
2021-03-15,Tema General Hospital,Whole Blood / RBC,48,1
2021-03-16,Tema General Hospital,Whole Blood / RBC,49,0
2021-03-17,Tema General Hospital,Whole Blood / RBC,48,0
2021-03-18,Tema General Hospital,Whole Blood / RBC,43,0
2021-03-19,Tema General Hospital,Whole Blood / RBC,53,0
2021-03-20,Tema General Hospital,Whole Blood / RBC,36,1
2021-03-21,Tema General Hospital,Whole Blood / RBC,37,0
2021-03-22,Tema General Hospital,Whole Blood / RBC,45,0
2021-03-23,Tema General Hospital,Whole Blood / RBC,42,0
2021-03-24,Tema General Hospital,Whole Blood / RBC,50,0
2021-03-25,Tema General Hospital,Whole Blood / RBC,40,1
2021-03-26,Tema General Hospital,Whole Blood / RBC,38,0
2021-03-27,Tema General Hospital,Whole Blood / RBC,25,0
2021-03-28,Tema General Hospital,Whole Blood / RBC,32,0
2021-03-29,Tema General Hospital,Whole Blood / RBC,41,0
2021-03-30,Tema General Hospital,Whole Blood / RBC,56,0
2021-03-31,Tema General Hospital,Whole Blood / RBC,49,0
2021-04-01,Tema General Hospital,Whole Blood / RBC,46,0
2021-04-02,Tema General Hospital,Whole Blood / RBC,48,0
2021-04-03,Tema General Hospital,Whole Blood / RBC,23,1
2021-04-04,Tema General Hospital,Whole Blood / RBC,20,0
2021-04-05,Tema General Hospital,Whole Blood / RBC,42,0
2021-04-06,Tema General Hospital,Whole Blood / RBC,43,0
2021-04-07,Tema General Hospital,Whole Blood / RBC,52,0
2021-04-08,Tema General Hospital,Whole Blood / RBC,48,0
2021-04-09,Tema General Hospital,Whole Blood / RBC,50,0
2021-04-10,Tema General Hospital,Whole Blood / RBC,33,0
2021-04-11,Tema General Hospital,Whole Blood / RBC,31,0
2021-04-12,Tema General Hospital,Whole Blood / RBC,47,0
2021-04-13,Tema General Hospital,Whole Blood / RBC,44,0
2021-04-14,Tema General Hospital,Whole Blood / RBC,37,0
2021-04-15,Tema General Hospital,Whole Blood / RBC,52,0
2021-04-16,Tema General Hospital,Whole Blood / RBC,51,0
2021-04-17,Tema General Hospital,Whole Blood / RBC,25,0
2021-04-18,Tema General Hospital,Whole Blood / RBC,34,0
2021-04-19,Tema General Hospital,Whole Blood / RBC,42,0
2021-04-20,Tema General Hospital,Whole Blood / RBC,44,0
2021-04-21,Tema General Hospital,Whole Blood / RBC,58,0
2021-04-22,Tema General Hospital,Whole Blood / RBC,62,0
2021-04-23,Tema General Hospital,Whole Blood / RBC,54,1
2021-04-24,Tema General Hospital,Whole Blood / RBC,36,0
2021-04-25,Tema General Hospital,Whole Blood / RBC,34,0
2021-04-26,Tema General Hospital,Whole Blood / RBC,50,0
2021-04-27,Tema General Hospital,Whole Blood / RBC,41,0
2021-04-28,Tema General Hospital,Whole Blood / RBC,60,0
2021-04-29,Tema General Hospital,Whole Blood / RBC,39,0
2021-04-30,Tema General Hospital,Whole Blood / RBC,57,0
2021-05-01,Tema General Hospital,Whole Blood / RBC,32,1
2021-05-02,Tema General Hospital,Whole Blood / RBC,40,0
2021-05-03,Tema General Hospital,Whole Blood / RBC,54,0
2021-05-04,Tema General Hospital,Whole Blood / RBC,42,1
2021-05-05,Tema General Hospital,Whole Blood / RBC,40,0
2021-05-06,Tema General Hospital,Whole Blood / RBC,34,1
2021-05-07,Tema General Hospital,Whole Blood / RBC,42,0
2021-05-08,Tema General Hospital,Whole Blood / RBC,18,1
2021-05-09,Tema General Hospital,Whole Blood / RBC,29,0
2021-05-10,Tema General Hospital,Whole Blood / RBC,41,0
2021-05-11,Tema General Hospital,Whole Blood / RBC,54,0
2021-05-12,Tema General Hospital,Whole Blood / RBC,39,0
2021-05-13,Tema General Hospital,Whole Blood / RBC,54,0
2021-05-14,Tema General Hospital,Whole Blood / RBC,54,0
2021-05-15,Tema General Hospital,Whole Blood / RBC,53,0
2021-05-16,Tema General Hospital,Whole Blood / RBC,32,0
2021-05-17,Tema General Hospital,Whole Blood / RBC,44,0
2021-05-18,Tema General Hospital,Whole Blood / RBC,50,0
2021-05-19,Tema General Hospital,Whole Blood / RBC,42,1
2021-05-20,Tema General Hospital,Whole Blood / RBC,53,0
2021-05-21,Tema General Hospital,Whole Blood / RBC,56,1
2021-05-22,Tema General Hospital,Whole Blood / RBC,24,0
2021-05-23,Tema General Hospital,Whole Blood / RBC,14,0
2021-05-24,Tema General Hospital,Whole Blood / RBC,41,0
2021-05-25,Tema General Hospital,Whole Blood / RBC,49,0
2021-05-26,Tema General Hospital,Whole Blood / RBC,41,0
2021-05-27,Tema General Hospital,Whole Blood / RBC,57,0
2021-05-28,Tema General Hospital,Whole Blood / RBC,45,0
2021-05-29,Tema General Hospital,Whole Blood / RBC,37,1
2021-05-30,Tema General Hospital,Whole Blood / RBC,28,0
2021-05-31,Tema General Hospital,Whole Blood / RBC,37,0
2021-06-01,Tema General Hospital,Whole Blood / RBC,36,0
2021-06-02,Tema General Hospital,Whole Blood / RBC,48,0
2021-06-03,Tema General Hospital,Whole Blood / RBC,40,0
2021-06-04,Tema General Hospital,Whole Blood / RBC,75,0
2021-06-05,Tema General Hospital,Whole Blood / RBC,31,0
2021-06-06,Tema General Hospital,Whole Blood / RBC,21,0
2021-06-07,Tema General Hospital,Whole Blood / RBC,43,0
2021-06-08,Tema General Hospital,Whole Blood / RBC,31,1
2021-06-09,Tema General Hospital,Whole Blood / RBC,36,1
2021-06-10,Tema General Hospital,Whole Blood / RBC,44,0
2021-06-11,Tema General Hospital,Whole Blood / RBC,30,0
2021-06-12,Tema General Hospital,Whole Blood / RBC,23,0
2021-06-13,Tema General Hospital,Whole Blood / RBC,28,1
2021-06-14,Tema General Hospital,Whole Blood / RBC,29,0
2021-06-15,Tema General Hospital,Whole Blood / RBC,43,0
2021-06-16,Tema General Hospital,Whole Blood / RBC,47,0
2021-06-17,Tema General Hospital,Whole Blood / RBC,39,0
2021-06-18,Tema General Hospital,Whole Blood / RBC,46,0
2021-06-19,Tema General Hospital,Whole Blood / RBC,27,0
2021-06-20,Tema General Hospital,Whole Blood / RBC,29,0
2021-06-21,Tema General Hospital,Whole Blood / RBC,43,0
2021-06-22,Tema General Hospital,Whole Blood / RBC,42,0
2021-06-23,Tema General Hospital,Whole Blood / RBC,41,0
2021-06-24,Tema General Hospital,Whole Blood / RBC,46,0
2021-06-25,Tema General Hospital,Whole Blood / RBC,45,0
2021-06-26,Tema General Hospital,Whole Blood / RBC,21,1
2021-06-27,Tema General Hospital,Whole Blood / RBC,18,0
2021-06-28,Tema General Hospital,Whole Blood / RBC,59,0
2021-06-29,Tema General Hospital,Whole Blood / RBC,40,0
2021-06-30,Tema General Hospital,Whole Blood / RBC,40,0
2021-07-01,Tema General Hospital,Whole Blood / RBC,42,0
2021-07-02,Tema General Hospital,Whole Blood / RBC,57,0
2021-07-03,Tema General Hospital,Whole Blood / RBC,35,1
2021-07-04,Tema General Hospital,Whole Blood / RBC,25,0
2021-07-05,Tema General Hospital,Whole Blood / RBC,33,0
2021-07-06,Tema General Hospital,Whole Blood / RBC,25,0
2021-07-07,Tema General Hospital,Whole Blood / RBC,33,0
2021-07-08,Tema General Hospital,Whole Blood / RBC,40,0
2021-07-09,Tema General Hospital,Whole Blood / RBC,40,0
2021-07-10,Tema General Hospital,Whole Blood / RBC,22,0
2021-07-11,Tema General Hospital,Whole Blood / RBC,24,0
2021-07-12,Tema General Hospital,Whole Blood / RBC,34,0
2021-07-13,Tema General Hospital,Whole Blood / RBC,28,0
2021-07-14,Tema General Hospital,Whole Blood / RBC,38,0
2021-07-15,Tema General Hospital,Whole Blood / RBC,24,0
2021-07-16,Tema General Hospital,Whole Blood / RBC,37,1
2021-07-17,Tema General Hospital,Whole Blood / RBC,31,0
2021-07-18,Tema General Hospital,Whole Blood / RBC,20,0
2021-07-19,Tema General Hospital,Whole Blood / RBC,32,0
2021-07-20,Tema General Hospital,Whole Blood / RBC,32,0
2021-07-21,Tema General Hospital,Whole Blood / RBC,42,0
2021-07-22,Tema General Hospital,Whole Blood / RBC,28,0
2021-07-23,Tema General Hospital,Whole Blood / RBC,36,1
2021-07-24,Tema General Hospital,Whole Blood / RBC,26,0
2021-07-25,Tema General Hospital,Whole Blood / RBC,33,0
2021-07-26,Tema General Hospital,Whole Blood / RBC,40,0
2021-07-27,Tema General Hospital,Whole Blood / RBC,37,0
2021-07-28,Tema General Hospital,Whole Blood / RBC,37,0
2021-07-29,Tema General Hospital,Whole Blood / RBC,25,0
2021-07-30,Tema General Hospital,Whole Blood / RBC,42,0
2021-07-31,Tema General Hospital,Whole Blood / RBC,24,0
2021-08-01,Tema General Hospital,Whole Blood / RBC,13,0
2021-08-02,Tema General Hospital,Whole Blood / RBC,35,0
2021-08-03,Tema General Hospital,Whole Blood / RBC,26,0
2021-08-04,Tema General Hospital,Whole Blood / RBC,20,0
2021-08-05,Tema General Hospital,Whole Blood / RBC,27,0
2021-08-06,Tema General Hospital,Whole Blood / RBC,28,0
2021-08-07,Tema General Hospital,Whole Blood / RBC,18,0
2021-08-08,Tema General Hospital,Whole Blood / RBC,20,1
2021-08-09,Tema General Hospital,Whole Blood / RBC,35,1
2021-08-10,Tema General Hospital,Whole Blood / RBC,30,0
2021-08-11,Tema General Hospital,Whole Blood / RBC,23,1
2021-08-12,Tema General Hospital,Whole Blood / RBC,32,0
2021-08-13,Tema General Hospital,Whole Blood / RBC,31,0
2021-08-14,Tema General Hospital,Whole Blood / RBC,16,0
2021-08-15,Tema General Hospital,Whole Blood / RBC,26,0
2021-08-16,Tema General Hospital,Whole Blood / RBC,14,0
2021-08-17,Tema General Hospital,Whole Blood / RBC,28,0
2021-08-18,Tema General Hospital,Whole Blood / RBC,30,0
2021-08-19,Tema General Hospital,Whole Blood / RBC,34,0
2021-08-20,Tema General Hospital,Whole Blood / RBC,23,0
2021-08-21,Tema General Hospital,Whole Blood / RBC,20,0
2021-08-22,Tema General Hospital,Whole Blood / RBC,9,0
2021-08-23,Tema General Hospital,Whole Blood / RBC,32,0
2021-08-24,Tema General Hospital,Whole Blood / RBC,26,1
2021-08-25,Tema General Hospital,Whole Blood / RBC,29,1
2021-08-26,Tema General Hospital,Whole Blood / RBC,27,0
2021-08-27,Tema General Hospital,Whole Blood / RBC,29,1
2021-08-28,Tema General Hospital,Whole Blood / RBC,10,0
2021-08-29,Tema General Hospital,Whole Blood / RBC,29,1
2021-08-30,Tema General Hospital,Whole Blood / RBC,50,0
2021-08-31,Tema General Hospital,Whole Blood / RBC,22,0
2021-09-01,Tema General Hospital,Whole Blood / RBC,30,0
2021-09-02,Tema General Hospital,Whole Blood / RBC,28,0
2021-09-03,Tema General Hospital,Whole Blood / RBC,37,0
2021-09-04,Tema General Hospital,Whole Blood / RBC,9,0
2021-09-05,Tema General Hospital,Whole Blood / RBC,29,0
2021-09-06,Tema General Hospital,Whole Blood / RBC,49,0
2021-09-07,Tema General Hospital,Whole Blood / RBC,31,0
2021-09-08,Tema General Hospital,Whole Blood / RBC,25,0
2021-09-09,Tema General Hospital,Whole Blood / RBC,34,0
2021-09-10,Tema General Hospital,Whole Blood / RBC,26,0
2021-09-11,Tema General Hospital,Whole Blood / RBC,16,0
2021-09-12,Tema General Hospital,Whole Blood / RBC,23,0
2021-09-13,Tema General Hospital,Whole Blood / RBC,23,0
2021-09-14,Tema General Hospital,Whole Blood / RBC,50,1
2021-09-15,Tema General Hospital,Whole Blood / RBC,29,0
2021-09-16,Tema General Hospital,Whole Blood / RBC,30,0
2021-09-17,Tema General Hospital,Whole Blood / RBC,21,1
2021-09-18,Tema General Hospital,Whole Blood / RBC,29,0
2021-09-19,Tema General Hospital,Whole Blood / RBC,51,0
2021-09-20,Tema General Hospital,Whole Blood / RBC,26,0
2021-09-21,Tema General Hospital,Whole Blood / RBC,24,0
2021-09-22,Tema General Hospital,Whole Blood / RBC,20,0
2021-09-23,Tema General Hospital,Whole Blood / RBC,42,0
2021-09-24,Tema General Hospital,Whole Blood / RBC,29,0
2021-09-25,Tema General Hospital,Whole Blood / RBC,20,1
2021-09-26,Tema General Hospital,Whole Blood / RBC,28,0
2021-09-27,Tema General Hospital,Whole Blood / RBC,22,0
2021-09-28,Tema General Hospital,Whole Blood / RBC,20,0
2021-09-29,Tema General Hospital,Whole Blood / RBC,24,0
2021-09-30,Tema General Hospital,Whole Blood / RBC,25,0
2021-10-01,Tema General Hospital,Whole Blood / RBC,28,0
2021-10-02,Tema General Hospital,Whole Blood / RBC,12,0
2021-10-03,Tema General Hospital,Whole Blood / RBC,18,0
2021-10-04,Tema General Hospital,Whole Blood / RBC,32,0
2021-10-05,Tema General Hospital,Whole Blood / RBC,28,0
2021-10-06,Tema General Hospital,Whole Blood / RBC,21,0
2021-10-07,Tema General Hospital,Whole Blood / RBC,23,0
2021-10-08,Tema General Hospital,Whole Blood / RBC,27,0
2021-10-09,Tema General Hospital,Whole Blood / RBC,6,0
2021-10-10,Tema General Hospital,Whole Blood / RBC,16,0
2021-10-11,Tema General Hospital,Whole Blood / RBC,23,1
2021-10-12,Tema General Hospital,Whole Blood / RBC,14,1
2021-10-13,Tema General Hospital,Whole Blood / RBC,26,0
2021-10-14,Tema General Hospital,Whole Blood / RBC,26,1
2021-10-15,Tema General Hospital,Whole Blood / RBC,20,0
2021-10-16,Tema General Hospital,Whole Blood / RBC,14,1
2021-10-17,Tema General Hospital,Whole Blood / RBC,12,0
2021-10-18,Tema General Hospital,Whole Blood / RBC,42,1
2021-10-19,Tema General Hospital,Whole Blood / RBC,29,1
2021-10-20,Tema General Hospital,Whole Blood / RBC,33,0
2021-10-21,Tema General Hospital,Whole Blood / RBC,30,1
2021-10-22,Tema General Hospital,Whole Blood / RBC,38,0
2021-10-23,Tema General Hospital,Whole Blood / RBC,17,0
2021-10-24,Tema General Hospital,Whole Blood / RBC,22,0
2021-10-25,Tema General Hospital,Whole Blood / RBC,30,0
2021-10-26,Tema General Hospital,Whole Blood / RBC,22,0
2021-10-27,Tema General Hospital,Whole Blood / RBC,25,0
2021-10-28,Tema General Hospital,Whole Blood / RBC,20,1
2021-10-29,Tema General Hospital,Whole Blood / RBC,34,0
2021-10-30,Tema General Hospital,Whole Blood / RBC,18,0
2021-10-31,Tema General Hospital,Whole Blood / RBC,23,1
2021-11-01,Tema General Hospital,Whole Blood / RBC,25,1
2021-11-02,Tema General Hospital,Whole Blood / RBC,48,1
2021-11-03,Tema General Hospital,Whole Blood / RBC,33,0
2021-11-04,Tema General Hospital,Whole Blood / RBC,33,1
2021-11-05,Tema General Hospital,Whole Blood / RBC,29,0
2021-11-06,Tema General Hospital,Whole Blood / RBC,15,0
2021-11-07,Tema General Hospital,Whole Blood / RBC,16,0
2021-11-08,Tema General Hospital,Whole Blood / RBC,26,0
2021-11-09,Tema General Hospital,Whole Blood / RBC,24,0
2021-11-10,Tema General Hospital,Whole Blood / RBC,39,0
2021-11-11,Tema General Hospital,Whole Blood / RBC,30,0
2021-11-12,Tema General Hospital,Whole Blood / RBC,31,0
2021-11-13,Tema General Hospital,Whole Blood / RBC,16,0
2021-11-14,Tema General Hospital,Whole Blood / RBC,18,0
2021-11-15,Tema General Hospital,Whole Blood / RBC,27,0
2021-11-16,Tema General Hospital,Whole Blood / RBC,30,0
2021-11-17,Tema General Hospital,Whole Blood / RBC,31,0
2021-11-18,Tema General Hospital,Whole Blood / RBC,35,0
2021-11-19,Tema General Hospital,Whole Blood / RBC,43,1
2021-11-20,Tema General Hospital,Whole Blood / RBC,14,0
2021-11-21,Tema General Hospital,Whole Blood / RBC,35,0
2021-11-22,Tema General Hospital,Whole Blood / RBC,26,0
2021-11-23,Tema General Hospital,Whole Blood / RBC,28,0
2021-11-24,Tema General Hospital,Whole Blood / RBC,30,1
2021-11-25,Tema General Hospital,Whole Blood / RBC,27,0
2021-11-26,Tema General Hospital,Whole Blood / RBC,36,0
2021-11-27,Tema General Hospital,Whole Blood / RBC,16,0
2021-11-28,Tema General Hospital,Whole Blood / RBC,22,0
2021-11-29,Tema General Hospital,Whole Blood / RBC,30,0
2021-11-30,Tema General Hospital,Whole Blood / RBC,25,0
2021-12-01,Tema General Hospital,Whole Blood / RBC,25,0
2021-12-02,Tema General Hospital,Whole Blood / RBC,35,0
2021-12-03,Tema General Hospital,Whole Blood / RBC,33,0
2021-12-04,Tema General Hospital,Whole Blood / RBC,31,1
2021-12-05,Tema General Hospital,Whole Blood / RBC,24,1
2021-12-06,Tema General Hospital,Whole Blood / RBC,45,0
2021-12-07,Tema General Hospital,Whole Blood / RBC,27,0
2021-12-08,Tema General Hospital,Whole Blood / RBC,34,0
2021-12-09,Tema General Hospital,Whole Blood / RBC,30,0
2021-12-10,Tema General Hospital,Whole Blood / RBC,38,0
2021-12-11,Tema General Hospital,Whole Blood / RBC,25,1
2021-12-12,Tema General Hospital,Whole Blood / RBC,23,1
2021-12-13,Tema General Hospital,Whole Blood / RBC,35,0
2021-12-14,Tema General Hospital,Whole Blood / RBC,35,0
2021-12-15,Tema General Hospital,Whole Blood / RBC,28,0
2021-12-16,Tema General Hospital,Whole Blood / RBC,36,0
2021-12-17,Tema General Hospital,Whole Blood / RBC,29,0
2021-12-18,Tema General Hospital,Whole Blood / RBC,22,0
2021-12-19,Tema General Hospital,Whole Blood / RBC,24,0
2021-12-20,Tema General Hospital,Whole Blood / RBC,33,0
2021-12-21,Tema General Hospital,Whole Blood / RBC,27,0
2021-12-22,Tema General Hospital,Whole Blood / RBC,39,1
2021-12-23,Tema General Hospital,Whole Blood / RBC,31,0
2021-12-24,Tema General Hospital,Whole Blood / RBC,29,0
2021-12-25,Tema General Hospital,Whole Blood / RBC,33,0
2021-12-26,Tema General Hospital,Whole Blood / RBC,13,0
2021-12-27,Tema General Hospital,Whole Blood / RBC,31,0
2021-12-28,Tema General Hospital,Whole Blood / RBC,44,0
2021-12-29,Tema General Hospital,Whole Blood / RBC,37,1
2021-12-30,Tema General Hospital,Whole Blood / RBC,33,0
2021-12-31,Tema General Hospital,Whole Blood / RBC,53,1
2022-01-01,Tema General Hospital,Whole Blood / RBC,22,0
2022-01-02,Tema General Hospital,Whole Blood / RBC,33,0
2022-01-03,Tema General Hospital,Whole Blood / RBC,31,0
2022-01-04,Tema General Hospital,Whole Blood / RBC,28,0
2022-01-05,Tema General Hospital,Whole Blood / RBC,42,0
2022-01-06,Tema General Hospital,Whole Blood / RBC,41,0
2022-01-07,Tema General Hospital,Whole Blood / RBC,49,0
2022-01-08,Tema General Hospital,Whole Blood / RBC,22,1
2022-01-09,Tema General Hospital,Whole Blood / RBC,24,1
2022-01-10,Tema General Hospital,Whole Blood / RBC,39,1
2022-01-11,Tema General Hospital,Whole Blood / RBC,28,0
2022-01-12,Tema General Hospital,Whole Blood / RBC,44,0
2022-01-13,Tema General Hospital,Whole Blood / RBC,34,0
2022-01-14,Tema General Hospital,Whole Blood / RBC,40,0
2022-01-15,Tema General Hospital,Whole Blood / RBC,23,0
2022-01-16,Tema General Hospital,Whole Blood / RBC,26,0
2022-01-17,Tema General Hospital,Whole Blood / RBC,50,0
2022-01-18,Tema General Hospital,Whole Blood / RBC,31,0
2022-01-19,Tema General Hospital,Whole Blood / RBC,38,1
2022-01-20,Tema General Hospital,Whole Blood / RBC,48,0
2022-01-21,Tema General Hospital,Whole Blood / RBC,46,0
2022-01-22,Tema General Hospital,Whole Blood / RBC,16,0
2022-01-23,Tema General Hospital,Whole Blood / RBC,20,1
2022-01-24,Tema General Hospital,Whole Blood / RBC,38,0
2022-01-25,Tema General Hospital,Whole Blood / RBC,44,0
2022-01-26,Tema General Hospital,Whole Blood / RBC,63,0
2022-01-27,Tema General Hospital,Whole Blood / RBC,53,1
2022-01-28,Tema General Hospital,Whole Blood / RBC,43,0
2022-01-29,Tema General Hospital,Whole Blood / RBC,20,0
2022-01-30,Tema General Hospital,Whole Blood / RBC,24,0
2022-01-31,Tema General Hospital,Whole Blood / RBC,54,0
2022-02-01,Tema General Hospital,Whole Blood / RBC,59,0
2022-02-02,Tema General Hospital,Whole Blood / RBC,60,1
2022-02-03,Tema General Hospital,Whole Blood / RBC,39,0
2022-02-04,Tema General Hospital,Whole Blood / RBC,41,0
2022-02-05,Tema General Hospital,Whole Blood / RBC,29,0
2022-02-06,Tema General Hospital,Whole Blood / RBC,28,0
2022-02-07,Tema General Hospital,Whole Blood / RBC,35,0
2022-02-08,Tema General Hospital,Whole Blood / RBC,49,0
2022-02-09,Tema General Hospital,Whole Blood / RBC,30,0
2022-02-10,Tema General Hospital,Whole Blood / RBC,35,0
2022-02-11,Tema General Hospital,Whole Blood / RBC,40,0
2022-02-12,Tema General Hospital,Whole Blood / RBC,30,0
2022-02-13,Tema General Hospital,Whole Blood / RBC,32,1
2022-02-14,Tema General Hospital,Whole Blood / RBC,40,0
2022-02-15,Tema General Hospital,Whole Blood / RBC,45,0
2022-02-16,Tema General Hospital,Whole Blood / RBC,58,0
2022-02-17,Tema General Hospital,Whole Blood / RBC,57,0
2022-02-18,Tema General Hospital,Whole Blood / RBC,52,0
2022-02-19,Tema General Hospital,Whole Blood / RBC,32,0
2022-02-20,Tema General Hospital,Whole Blood / RBC,26,1
2022-02-21,Tema General Hospital,Whole Blood / RBC,50,0
2022-02-22,Tema General Hospital,Whole Blood / RBC,46,0
2022-02-23,Tema General Hospital,Whole Blood / RBC,62,0
2022-02-24,Tema General Hospital,Whole Blood / RBC,35,1
2022-02-25,Tema General Hospital,Whole Blood / RBC,44,0
2022-02-26,Tema General Hospital,Whole Blood / RBC,20,0
2022-02-27,Tema General Hospital,Whole Blood / RBC,22,0
2022-02-28,Tema General Hospital,Whole Blood / RBC,50,0
2022-03-01,Tema General Hospital,Whole Blood / RBC,43,0
2022-03-02,Tema General Hospital,Whole Blood / RBC,45,0
2022-03-03,Tema General Hospital,Whole Blood / RBC,52,0
2022-03-04,Tema General Hospital,Whole Blood / RBC,50,1
2022-03-05,Tema General Hospital,Whole Blood / RBC,24,0
2022-03-06,Tema General Hospital,Whole Blood / RBC,28,1
2022-03-07,Tema General Hospital,Whole Blood / RBC,49,0
2022-03-08,Tema General Hospital,Whole Blood / RBC,49,0
2022-03-09,Tema General Hospital,Whole Blood / RBC,33,0
2022-03-10,Tema General Hospital,Whole Blood / RBC,38,0
2022-03-11,Tema General Hospital,Whole Blood / RBC,47,0
2022-03-12,Tema General Hospital,Whole Blood / RBC,15,0
2022-03-13,Tema General Hospital,Whole Blood / RBC,32,0
2022-03-14,Tema General Hospital,Whole Blood / RBC,34,0
2022-03-15,Tema General Hospital,Whole Blood / RBC,63,0
2022-03-16,Tema General Hospital,Whole Blood / RBC,44,0
2022-03-17,Tema General Hospital,Whole Blood / RBC,44,1
2022-03-18,Tema General Hospital,Whole Blood / RBC,80,0
2022-03-19,Tema General Hospital,Whole Blood / RBC,23,0
2022-03-20,Tema General Hospital,Whole Blood / RBC,32,0
2022-03-21,Tema General Hospital,Whole Blood / RBC,42,0
2022-03-22,Tema General Hospital,Whole Blood / RBC,58,0
2022-03-23,Tema General Hospital,Whole Blood / RBC,80,0
2022-03-24,Tema General Hospital,Whole Blood / RBC,41,0
2022-03-25,Tema General Hospital,Whole Blood / RBC,49,0
2022-03-26,Tema General Hospital,Whole Blood / RBC,31,0
